fragment, used, inprojects, sloc, usedsloc, percent
5232371_0.java,2877,85,14,4,0.2857142857142857
18215552_0.java,2268,410,10,4,0.4
15118438_0.java,6,6,136,5,0.03676470588235294
17629842_1.java,214,181,55,4,0.07272727272727272
6568490_1.java,31,10,29,4,0.13793103448275862
2137439_0.java,91,83,18,5,0.2777777777777778
6936886_1.java,497,417,41,6,0.14634146341463414
4954288_0.java,11,10,20,4,0.2
16557051_0.java,1,1,35,4,0.11428571428571428
20536828_0.java,220,102,15,4,0.26666666666666666
14822832_0.java,1,1,6,4,0.6666666666666666
18148413_0.java,1020,843,10,5,0.5
3879343_0.java,499,329,19,5,0.2631578947368421
1988212_0.java,8435,3341,20,6,0.3
5875577_0.java,1598,1371,29,4,0.13793103448275862
14213334_0.java,1,1,23,4,0.17391304347826086
